num,titulo,interprete,genero,bpm,camelot,duracao,data_adicionada
1,"Stop Talking (Extended Mix) [Hellbent Records]",ATLAC,Tech House,131.00,6A,04:58,2026-06-07
2,"Trust Me feat. Ben Westbeech (Original Mix) [Solid Grooves]","Ben Westbeech & Dunmore Brothers",Minimal / Deep Tech,126.00,10A,05:20,2026-06-07
3,"Zero Tolerance (Extended) [AETERNA Records]",Broken Hill,Tech House,125.00,6A,05:53,2026-06-07
4,"Swag (Extended Mix) [Glasgow Underground]",Diego Bustamante,,130.00,6A,05:26,2026-06-07
5,"All We Got (Original Mix) [Diynamic]",Johannes Brecht,Tech House,128.00,11A,04:49,2026-06-07
6,"Work Your Body (Extended Mix) [Catch Release]",Joshwa,Tech House,132.00,8A,05:27,2026-06-07
7,"Bad Wolf (Extended Mix) [EMPIRE]",Michael Bibi,,131.00,1A,04:56,2026-06-07
8,"Get Naughty (Original Mix) [Retail Records]",Myla (Official),Tech House,130.00,6A,05:56,2026-06-07
9,"Bootay (Original Mix) [LIBERA]",San Pacho,Tech House,132.00,8A,05:20,2026-06-07
10,"Pokasamba (Original Mix) [Cube Recordings]",The Cube Guys,,128.00,5A,05:16,2026-06-07
11,"Hands Up (Original Mix) [Affairs]","Volkoder, Vintage Culture",Mainstage,128.00,11A,05:52,2026-06-07
12,"Lost Eletrofunk",DJ HUNCHER,Eletrofunk,130.00,6A,02:06,2026-06-03
